,VEH001,VEH002,VEH003,VEH004,VEH005,VEH006,VEH007,VEH008,VEH009,VEH010,DEL0001,DEL0002,DEL0003,DEL0004,DEL0005,DEL0006,DEL0007,DEL0008,DEL0009,DEL0010,DEL0011,DEL0012,DEL0013,DEL0014,DEL0015,DEL0016,DEL0017,DEL0018,DEL0019,DEL0020,DEL0021,DEL0022,DEL0023,DEL0024,DEL0025,DEL0026,DEL0027,DEL0028,DEL0029,DEL0030,DEL0031,DEL0032,DEL0033,DEL0034,DEL0035,DEL0036,DEL0037,DEL0038,DEL0039,DEL0040,DEL0041,DEL0042,DEL0043,DEL0044,DEL0045,DEL0046,DEL0047,DEL0048,DEL0049,DEL0050
DEL0001,28.36,19.29,16.8,23.49,10.07,32.05,9.04,14.4,28.32,7.41,0.0,15.21,7.34,21.22,28.65,28.78,22.3,14.46,21.98,17.73,17.46,4.9,22.46,21.65,25.03,24.84,16.5,37.89,28.07,33.46,3.69,21.29,23.59,3.41,21.21,11.59,25.0,10.44,21.96,28.19,20.89,20.25,9.58,11.33,14.69,16.08,14.82,20.23,24.24,24.49,25.87,12.2,8.61,15.86,17.12,25.97,22.77,17.3,12.19,2.4
DEL0002,35.92,28.05,24.37,24.14,20.65,16.86,10.62,10.03,35.88,17.98,18.3,0.0,21.59,31.8,36.67,29.43,22.95,24.85,30.75,26.5,8.67,21.0,23.11,32.23,29.63,32.96,27.17,34.11,28.58,42.85,13.25,28.02,31.15,16.7,29.11,12.83,33.8,6.78,32.54,32.23,21.54,29.01,20.16,11.54,23.45,24.85,23.58,21.74,33.01,33.26,29.36,8.01,19.19,25.1,25.88,34.73,31.54,26.06,11.03,15.96
DEL0003,37.9,17.88,15.66,24.0,8.72,25.9,13.83,23.09,26.84,7.24,7.63,21.59,0.0,19.84,27.28,31.03,22.82,11.62,22.3,16.33,22.1,6.81,22.97,20.28,18.74,23.43,15.1,25.07,25.18,32.09,9.28,17.85,22.12,5.4,18.98,15.07,23.62,17.59,20.87,20.28,21.4,19.51,11.49,16.32,13.28,14.68,13.41,20.75,22.76,23.09,24.46,17.73,10.16,12.9,15.71,24.56,21.29,15.89,16.97,8.9
DEL0004,15.49,12.99,12.3,31.07,15.36,36.08,24.0,28.83,18.6,17.57,20.57,43.99,20.43,0.0,12.72,28.46,30.89,11.3,20.51,19.52,32.19,21.11,27.81,0.79,4.63,12.18,18.44,13.68,27.58,17.54,21.42,20.2,10.73,25.36,3.86,25.05,8.6,26.29,1.59,0.79,28.18,14.53,15.38,26.3,18.04,12.56,16.92,29.35,18.83,17.47,26.86,27.55,17.77,11.33,16.05,18.95,18.32,13.62,26.95,19.07
DEL0005,13.25,20.87,22.2,34.3,26.72,47.44,35.36,40.2,13.21,43.64,31.94,39.84,30.91,14.05,0.0,31.77,34.12,22.67,27.4,28.49,42.09,32.1,31.05,19.45,17.68,15.36,28.33,12.69,30.82,2.45,32.78,28.29,14.52,30.78,20.23,34.95,14.53,36.18,16.39,14.48,31.42,24.14,26.74,36.19,27.93,22.51,26.81,33.71,24.08,20.18,30.1,37.45,29.13,21.8,29.45,20.7,22.62,23.32,36.84,45.96
DEL0006,23.89,19.5,19.6,10.07,26.53,34.04,29.88,30.13,24.33,28.81,28.32,28.66,26.21,27.52,26.3,0.0,11.27,20.47,13.67,13.5,27.02,27.41,9.31,36.45,25.21,21.67,15.06,23.87,4.59,33.76,27.3,15.95,26.73,26.09,24.69,21.56,28.64,27.36,28.55,27.96,10.72,19.82,26.16,23.78,16.39,17.99,18.82,12.07,17.84,17.98,6.81,27.13,27.71,20.26,14.54,18.22,16.37,16.58,24.32,29.08
DEL0007,28.24,30.72,24.13,5.04,30.19,28.12,28.6,24.21,47.17,27.52,23.44,22.73,25.18,43.26,30.65,9.63,0.0,35.05,18.58,20.5,21.09,26.17,7.04,32.49,41.2,26.02,17.67,28.21,12.75,38.11,21.38,20.15,42.72,30.97,29.22,15.63,32.99,21.43,33.08,32.49,6.3,24.35,29.7,17.86,19.2,22.52,27.38,4.69,22.74,28.96,12.03,21.2,28.73,24.79,18.74,22.56,26.61,21.11,18.4,25.5
DEL0008,19.73,10.87,6.81,25.49,9.75,30.19,18.12,22.95,28.43,12.92,14.29,31.87,11.64,10.15,17.59,30.47,24.56,0.0,14.9,13.94,24.1,13.38,22.23,10.59,9.05,16.16,12.87,17.92,22.01,22.4,15.54,12.99,14.96,12.06,9.55,16.8,13.93,18.2,11.19,10.59,22.6,11.83,10.05,18.05,11.91,8.65,11.7,33.09,16.63,16.08,21.29,19.46,11.82,2.36,10.48,17.55,15.16,9.51,18.7,13.19
DEL0009,16.67,7.97,11.92,17.1,18.48,35.75,29.79,30.8,17.11,20.77,21.32,28.98,19.22,19.48,19.07,13.88,16.92,17.45,0.0,7.81,28.72,20.41,13.84,19.91,17.17,14.44,9.04,16.64,13.04,27.75,22.97,7.71,18.69,19.09,16.65,23.27,21.33,25.33,21.26,19.91,14.21,8.45,18.11,25.33,9.36,9.82,10.78,16.5,6.16,7.4,12.32,28.26,19.66,15.33,6.5,8.48,4.69,6.83,26.69,21.04
DEL0010,21.41,11.47,12.06,15.31,18.99,33.96,24.21,29.39,21.85,24.49,18.44,26.1,16.34,19.99,23.82,13.57,15.13,12.94,8.04,0.0,26.94,17.53,12.05,23.76,17.68,19.18,4.83,21.38,10.9,30.9,20.09,6.3,19.2,16.21,17.16,21.21,21.84,22.45,21.02,20.42,12.43,11.79,18.62,22.46,4.56,10.46,7.5,14.72,10.26,11.5,10.18,23.71,20.18,12.72,4.89,12.58,8.79,8.55,23.11,19.63
DEL0011,37.2,29.33,25.65,21.98,21.56,12.55,12.14,6.26,37.16,18.89,16.54,8.45,21.77,32.7,37.95,27.27,20.8,26.13,29.97,33.54,0.0,19.43,20.95,49.1,30.91,52.6,26.55,35.39,26.43,44.13,14.48,29.3,53.28,17.94,30.39,15.03,35.08,9.78,33.45,49.45,19.38,30.29,21.07,13.93,31.66,26.13,24.87,18.73,34.13,33.77,25.7,9.29,20.1,26.38,36.15,33.95,32.66,27.34,12.84,22.32
DEL0012,25.19,16.12,13.64,22.24,8.96,24.01,11.93,22.37,25.15,7.05,3.35,18.36,4.25,19.52,25.94,25.85,31.15,11.3,22.88,14.57,24.85,0.0,21.21,19.95,18.42,21.68,13.34,23.38,23.43,31.76,6.93,16.09,30.17,3.71,18.38,13.31,31.93,13.68,20.55,19.95,19.64,17.08,9.59,14.56,11.52,12.92,11.66,18.99,21.08,21.33,22.7,15.43,8.26,12.7,13.96,22.8,19.61,14.13,14.99,7.0
DEL0013,42.86,19.82,19.92,5.91,26.85,28.35,24.19,24.44,24.47,27.25,23.67,22.96,26.79,27.84,26.43,9.67,5.75,20.79,14.37,12.81,29.25,25.1,0.0,39.0,25.53,21.8,13.46,24.0,11.44,33.89,21.61,15.94,27.05,23.79,35.65,15.87,28.77,21.67,28.87,28.28,3.62,23.95,26.48,18.09,14.99,18.31,17.77,5.33,18.53,18.18,10.72,21.44,28.03,28.9,18.8,18.35,17.06,23.87,18.63,25.73
DEL0014,16.1,15.0,12.91,31.67,15.85,36.56,24.48,29.32,19.25,18.05,21.06,30.55,20.92,1.43,19.45,29.07,31.49,11.79,19.6,20.12,32.75,21.59,28.42,0.0,5.24,13.18,22.07,14.29,28.19,18.14,21.9,19.17,11.33,21.33,4.46,25.66,9.67,26.86,3.49,0.41,40.6,16.79,15.86,26.9,18.64,13.17,17.52,29.95,19.44,18.08,27.47,28.16,23.43,11.81,16.66,20.49,18.93,14.23,27.55,28.25
DEL0015,14.78,12.28,9.49,29.19,14.51,35.23,32.84,27.98,14.75,16.72,19.73,28.07,19.14,2.6,12.56,26.58,29.01,9.44,19.03,17.64,30.32,20.26,25.93,5.05,0.0,11.82,16.57,12.97,25.71,21.55,27.67,16.69,10.02,19.01,1.86,23.18,10.74,24.41,5.65,5.05,26.3,13.71,17.96,24.42,16.16,10.14,14.09,27.47,18.12,17.49,24.99,25.68,16.92,8.98,14.18,18.24,16.8,11.15,25.07,18.23
DEL0016,9.04,11.19,11.84,25.23,22.65,64.56,30.13,34.97,8.79,24.94,24.94,32.02,22.84,12.18,10.0,22.7,25.05,15.59,14.93,18.75,34.28,24.03,21.98,13.18,12.71,0.0,20.34,4.63,21.75,15.34,26.58,17.8,6.38,22.71,11.27,37.72,8.49,28.37,14.1,13.35,22.35,14.46,22.29,38.95,17.27,12.88,15.44,24.64,15.02,10.85,21.03,29.63,23.84,13.99,15.29,11.63,13.55,11.86,29.03,25.21
DEL0017,22.6,10.1,10.7,17.02,17.63,45.27,22.56,27.74,22.56,18.03,16.79,24.45,14.69,21.11,23.35,15.56,16.84,11.57,9.75,2.42,26.7,15.88,13.76,19.06,16.31,17.85,0.0,20.79,12.89,29.53,18.44,5.6,17.83,14.56,18.73,19.56,20.48,20.8,19.65,19.06,18.55,10.42,17.26,20.81,4.5,9.09,7.29,16.42,11.23,12.46,12.16,22.06,18.81,11.36,3.46,13.55,9.76,7.18,19.77,17.98
DEL0018,5.22,12.9,14.92,26.34,23.18,41.83,30.66,35.5,4.97,25.47,25.73,32.55,23.62,13.08,8.02,23.8,26.16,16.12,16.03,20.52,34.8,24.82,38.49,15.08,13.24,4.22,20.95,0.0,22.85,13.74,39.88,20.32,7.23,23.5,11.8,27.66,7.75,28.9,14.63,15.15,23.45,16.18,22.82,28.91,20.56,13.21,18.73,25.74,16.36,12.21,22.13,30.16,24.37,14.52,17.98,12.73,14.65,17.28,29.56,25.74
DEL0019,23.06,18.85,18.95,12.69,25.88,33.29,29.14,29.39,33.88,27.57,26.34,27.91,24.23,26.87,25.47,7.26,14.01,19.82,11.54,11.16,26.27,25.43,11.94,32.86,24.56,20.83,12.72,23.03,0.0,38.27,26.56,14.29,26.08,24.11,29.56,20.81,27.81,26.61,27.9,27.31,12.74,19.17,25.51,23.04,14.05,17.34,16.75,14.7,17.36,17.21,1.48,26.38,27.06,19.61,12.88,17.38,15.89,15.93,23.58,27.52
DEL0020,17.29,22.48,24.75,38.34,28.66,49.37,37.3,42.13,17.25,30.87,33.87,42.38,41.37,15.98,0.62,35.8,38.16,24.6,28.03,31.96,64.96,42.14,35.08,16.42,21.55,16.76,30.88,16.72,34.85,0.0,34.71,30.27,11.97,33.33,18.85,37.49,14.81,38.73,18.33,16.42,35.45,28.18,28.68,51.37,30.48,24.48,30.37,37.74,28.12,24.21,34.13,39.99,31.06,28.74,28.5,24.73,26.65,25.57,39.39,32.37
DEL0021,44.08,26.93,17.74,27.91,11.66,21.28,8.68,16.29,44.93,9.0,2.94,15.09,8.28,22.81,30.04,28.42,21.95,15.4,22.92,18.67,17.1,6.14,22.1,23.25,21.71,25.77,17.44,27.48,27.52,47.65,0.0,20.19,24.52,4.34,22.48,11.23,26.59,10.08,23.55,23.25,20.53,21.18,11.17,10.97,15.62,17.02,15.75,26.4,28.27,30.27,26.8,11.84,10.2,16.8,18.05,31.18,23.7,18.23,11.83,6.34
DEL0022,21.29,9.49,10.68,18.84,17.61,36.41,25.09,29.92,21.73,19.89,19.48,27.14,17.38,18.6,23.33,16.23,18.66,14.72,8.12,5.75,29.39,18.57,15.58,19.04,16.29,17.83,3.3,20.77,14.45,29.51,21.12,0.0,17.82,17.25,15.77,22.25,20.46,23.48,19.63,19.04,15.95,6.05,17.24,23.49,7.19,9.07,8.76,18.25,9.6,10.84,13.73,24.75,18.79,11.34,1.03,11.92,8.13,7.66,24.14,23.32
DEL0023,9.65,13.19,12.22,30.98,20.48,39.13,27.96,32.8,9.61,22.77,23.03,29.85,29.4,9.01,10.21,28.37,30.8,13.42,19.17,19.43,32.1,22.12,27.72,9.45,10.54,4.45,22.13,7.84,27.5,14.44,24.67,18.47,0.0,20.8,9.1,24.96,4.24,26.2,11.36,9.45,28.09,16.1,20.12,26.21,17.95,12.46,18.87,29.26,19.03,14.43,26.77,27.46,21.67,11.82,15.97,17.79,16.29,13.54,26.86,23.04
DEL0024,26.74,17.68,15.19,29.54,10.4,23.0,10.55,15.76,26.7,7.38,3.56,16.72,5.73,21.07,27.5,31.62,22.61,12.85,20.37,16.12,18.97,3.6,22.77,21.5,19.97,23.23,14.89,24.93,27.07,33.32,5.2,17.64,21.98,0.0,19.94,13.1,33.02,11.95,22.1,21.5,21.19,18.63,9.41,12.84,13.07,14.47,13.21,20.54,22.63,22.88,24.26,13.71,8.58,14.25,18.99,28.26,21.16,15.69,14.21,5.45
DEL0025,13.78,11.28,9.42,38.58,15.74,57.56,24.38,44.44,13.75,23.45,20.95,41.73,19.07,3.99,11.94,26.52,28.95,9.39,18.43,17.58,46.48,20.27,25.87,4.43,2.72,10.82,16.5,11.97,25.64,16.75,21.79,16.62,9.02,18.95,0.0,23.11,8.28,24.35,5.03,4.43,37.26,13.64,15.75,24.36,16.1,10.07,14.98,27.4,17.12,15.76,24.92,25.61,18.14,8.92,16.96,17.24,16.61,11.09,25.01,19.45
DEL0026,29.82,21.95,18.26,16.32,23.03,22.03,8.58,15.76,29.78,15.02,11.6,9.43,15.06,25.42,30.57,21.61,15.14,17.2,24.31,20.39,15.01,14.49,17.36,25.85,23.53,26.85,19.16,28.0,20.77,36.75,9.54,21.92,38.78,13.0,23.01,0.0,27.69,7.99,26.45,25.85,13.72,22.91,17.2,3.56,17.35,25.06,17.48,13.07,26.9,27.15,20.05,8.54,16.23,18.6,20.98,28.29,25.43,19.96,4.1,12.99
DEL0027,10.24,15.59,14.62,32.22,20.07,40.78,28.71,33.54,10.2,22.27,25.28,50.55,23.33,7.39,9.46,29.68,32.04,15.83,21.58,21.84,34.51,24.52,28.96,7.83,9.97,8.4,25.19,8.6,28.73,13.69,37.69,20.88,4.53,23.21,9.16,27.37,0.0,28.61,9.74,7.83,29.33,18.5,20.08,28.62,20.36,14.38,19.24,31.62,21.44,18.09,28.01,29.87,22.47,14.23,18.38,18.61,19.77,15.95,29.27,23.78
DEL0028,32.36,24.49,20.81,22.59,16.89,16.56,6.86,9.28,32.32,14.22,11.54,6.35,16.88,28.04,56.1,27.88,21.41,21.29,27.19,22.94,9.34,14.43,21.57,28.47,37.77,29.4,21.71,30.55,27.04,39.29,9.48,24.46,27.6,15.98,25.55,9.07,30.24,0.0,39.73,28.47,19.99,25.45,16.4,7.78,19.89,21.29,26.16,19.34,29.45,29.7,26.32,4.45,15.43,21.54,22.32,31.17,27.98,31.17,7.47,12.2
DEL0029,17.92,14.74,13.08,32.47,19.54,35.86,23.79,28.62,17.88,17.36,20.36,30.43,20.22,3.25,15.15,29.86,43.57,11.09,21.42,20.92,32.06,23.4,29.21,3.69,7.05,14.95,19.84,16.11,28.98,19.96,21.2,19.96,13.15,20.63,6.28,25.38,11.49,39.73,0.0,3.69,29.58,15.19,15.17,26.62,19.43,13.02,18.32,30.74,21.25,19.89,28.26,27.91,17.55,11.11,17.45,20.43,20.75,16.05,27.28,18.86
DEL0030,16.1,13.59,12.91,31.67,15.85,36.56,24.48,47.22,16.06,25.17,21.06,30.55,20.92,1.43,13.33,36.84,31.49,13.09,19.6,20.12,32.75,21.59,28.42,0.0,5.24,13.13,19.05,14.29,28.19,18.14,21.9,19.17,11.33,21.33,4.46,25.66,9.67,26.86,3.49,0.0,28.79,16.79,15.86,26.9,18.64,13.17,17.52,29.95,19.44,18.08,27.47,28.16,18.25,12.35,16.66,20.82,18.93,14.23,27.55,19.56
DEL0031,24.99,20.79,20.88,2.65,27.81,26.35,25.28,22.45,25.43,34.24,21.68,20.97,23.42,28.8,27.4,11.57,4.72,21.76,15.34,13.78,19.33,24.41,4.21,40.6,26.5,22.77,14.43,24.97,12.4,34.86,19.62,16.9,28.02,22.27,25.98,13.87,29.74,19.67,29.84,29.24,0.0,21.1,27.44,16.1,15.95,19.28,18.74,3.47,19.5,19.14,11.68,20.67,26.97,21.54,15.5,19.32,18.03,17.86,16.64,23.73
DEL0032,17.57,3.28,7.12,23.13,18.05,37.36,29.01,30.36,18.01,20.33,20.42,28.08,18.32,14.53,19.98,20.17,22.95,12.25,7.02,8.96,30.33,19.51,23.95,15.63,13.18,13.55,9.89,16.93,19.33,26.88,22.07,9.43,15.34,18.19,12.66,23.19,17.98,24.43,17.12,16.56,20.25,0.0,17.68,26.83,9.95,6.0,10.23,22.54,8.5,8.49,18.61,25.69,19.23,8.92,6.92,9.96,7.03,3.2,27.5,20.6
DEL0033,25.8,18.49,14.48,30.34,2.11,25.39,18.79,18.15,25.76,4.98,9.89,29.12,11.94,15.8,23.24,27.96,29.15,10.25,19.98,19.02,21.59,10.43,27.31,16.24,14.7,22.83,17.94,23.99,27.09,28.05,10.74,18.07,21.03,10.6,15.79,18.12,28.7,15.69,16.55,20.32,35.25,19.43,0.0,17.39,18.71,15.29,16.8,27.08,22.24,23.47,26.37,17.44,5.58,12.24,22.11,24.56,20.77,16.19,18.25,8.39
DEL0034,30.73,29.24,25.9,18.51,17.01,20.96,9.0,14.54,30.69,14.35,11.79,8.23,14.28,26.33,50.96,23.8,17.32,18.11,25.56,21.3,13.94,13.9,17.48,26.77,33.29,27.77,20.08,43.16,22.95,37.66,8.95,22.83,25.96,12.4,23.92,3.56,28.61,6.6,27.36,26.77,15.91,23.82,16.52,0.0,18.26,26.18,21.01,15.26,27.82,28.07,22.23,2.25,15.55,24.48,20.69,29.54,26.35,20.87,2.6,12.32
DEL0035,22.25,9.75,10.3,17.9,17.28,43.88,19.84,25.02,22.21,15.3,14.07,21.73,11.97,18.27,33.23,18.99,17.72,11.22,11.16,5.44,23.98,13.16,14.64,18.71,15.96,17.33,4.21,20.44,14.3,29.18,15.71,6.97,22.49,11.84,15.45,16.62,20.13,18.07,19.3,18.71,15.01,10.07,16.91,18.08,0.0,8.57,4.19,17.31,12.64,13.88,13.58,19.34,16.51,11.01,4.83,14.96,11.17,6.83,18.59,18.1
DEL0036,21.44,4.42,3.24,22.19,14.87,33.76,22.35,27.18,16.93,17.15,16.82,24.48,14.72,12.99,17.72,19.58,30.7,7.89,9.09,10.64,26.74,15.91,18.93,13.61,10.05,9.87,9.56,13.23,18.7,23.1,18.47,9.68,12.2,14.6,9.53,19.59,14.52,20.83,13.02,13.43,19.3,6.41,19.26,26.18,8.77,0.0,7.32,21.59,10.57,9.34,17.98,22.1,21.35,6.29,6.7,12.13,9.1,3.46,21.49,17.42
DEL0037,18.87,8.1,6.62,20.9,14.02,46.53,20.49,25.67,18.83,15.96,14.72,22.38,12.62,14.89,19.62,18.29,27.38,7.96,10.31,8.58,24.63,13.81,17.64,15.33,12.58,18.03,7.35,17.02,17.63,25.8,16.37,8.39,14.1,12.5,12.06,17.49,16.75,18.73,15.92,15.33,18.01,9.06,13.65,18.74,5.95,4.89,0.0,20.31,12.57,13.31,16.62,19.99,15.2,6.91,5.89,14.78,11.1,5.26,19.39,15.91
DEL0038,47.1,22.33,22.38,4.86,27.75,25.68,21.52,21.78,26.98,25.09,21.0,20.3,22.75,29.95,28.95,12.25,3.39,23.03,16.88,15.32,18.66,23.73,5.64,42.74,27.64,24.31,20.67,26.51,13.95,36.4,26.4,18.45,29.16,21.59,27.12,13.2,31.29,19.0,30.98,30.38,3.94,27.94,27.26,15.43,21.53,20.82,20.28,0.0,21.04,20.69,13.23,21.16,26.29,23.09,17.04,20.86,25.84,19.41,15.96,23.06
DEL0039,17.25,7.56,12.43,22.31,21.54,55.13,29.02,33.85,17.68,23.82,24.38,32.04,22.27,19.3,19.65,19.08,22.13,15.48,5.94,10.35,33.93,23.47,19.05,19.74,18.19,13.55,11.48,16.93,18.25,27.11,26.02,6.65,18.89,25.43,17.5,27.14,19.3,28.38,20.33,19.74,19.42,9.36,21.17,29.08,12.81,10.73,13.84,21.71,0.0,5.8,14.3,29.65,22.72,14.23,8.8,6.89,4.49,7.63,29.04,24.09
DEL0040,13.71,5.22,12.18,21.16,29.26,39.81,29.82,44.38,14.15,24.62,25.18,32.84,23.08,17.39,16.11,18.48,20.98,18.76,6.74,11.15,32.78,24.27,17.9,19.52,17.02,10.96,12.29,13.68,17.68,23.57,26.83,10.95,16.88,22.95,15.59,27.33,18.45,29.19,18.42,19.86,18.27,10.01,21.97,29.19,13.62,11.06,14.64,28.31,2.22,0.0,16.95,33.2,23.52,13.98,9.6,2.83,4.31,8.43,29.85,24.89
DEL0041,34.68,18.07,21.98,11.91,25.09,32.51,28.35,28.6,22.71,26.79,27.77,27.12,23.45,26.08,38.16,6.47,13.07,19.04,12.4,10.37,25.48,24.64,8.59,26.52,23.78,20.05,11.93,22.25,1.52,32.14,25.77,13.5,25.3,23.32,23.26,20.02,27.02,25.83,27.12,26.52,11.95,18.38,24.72,23.4,13.26,16.56,15.96,13.91,16.57,16.42,0.0,25.6,26.27,24.39,12.09,16.6,15.1,15.14,22.79,26.74
DEL0042,28.71,30.96,17.16,19.46,22.42,24.16,4.99,10.53,28.67,12.36,9.4,9.34,14.73,24.73,29.46,24.75,18.27,17.64,23.54,19.29,12.03,12.29,21.47,25.17,34.34,25.75,18.06,26.9,23.9,35.64,7.34,20.81,23.95,10.8,21.9,6.54,26.59,4.79,25.76,25.17,16.86,21.8,14.54,5.81,16.24,17.64,16.38,16.21,25.8,33.2,25.66,0.0,13.57,17.89,24.33,27.52,24.33,18.85,2.72,10.34
DEL0043,27.46,19.58,15.57,28.86,3.04,24.4,12.32,17.15,27.43,2.44,8.4,19.77,10.87,23.48,25.24,29.05,27.67,12.32,21.07,20.11,20.59,8.95,27.83,18.24,16.7,24.5,19.04,35.95,28.18,30.05,9.74,19.16,22.7,9.12,17.79,17.12,21.58,14.7,18.54,23.66,26.26,20.52,4.95,16.39,18.14,16.39,17.87,25.61,23.33,24.57,27.46,19.88,0.0,14.84,16.65,31.54,21.86,17.28,17.25,7.39
DEL0044,17.98,9.06,5.0,24.66,13.12,31.43,19.36,24.19,17.95,14.16,15.93,23.72,13.51,11.62,18.74,22.05,24.48,2.36,13.34,13.11,25.97,15.25,28.9,12.06,9.09,15.02,12.04,16.18,21.18,28.74,19.15,12.16,13.22,13.93,8.9,18.67,15.4,20.07,11.74,12.35,30.21,9.95,11.5,19.92,11.63,6.84,10.86,23.23,14.82,14.27,20.46,25.55,14.84,0.0,9.65,17.59,13.35,7.7,20.57,14.43
