,VEH001,VEH002,VEH003,VEH004,VEH005,VEH006,VEH007,VEH008,VEH009,VEH010,DEL0001,DEL0002,DEL0003,DEL0004,DEL0005,DEL0006,DEL0007,DEL0008,DEL0009,DEL0010,DEL0011,DEL0012,DEL0013,DEL0014,DEL0015,DEL0016,DEL0017,DEL0018,DEL0019,DEL0020,DEL0021,DEL0022,DEL0023,DEL0024,DEL0025,DEL0026,DEL0027,DEL0028,DEL0029,DEL0030,DEL0031,DEL0032,DEL0033,DEL0034,DEL0035,DEL0036,DEL0037,DEL0038,DEL0039,DEL0040,DEL0041,DEL0042,DEL0043,DEL0044,DEL0045,DEL0046,DEL0047,DEL0048,DEL0049,DEL0050
DEL0001,25.45,15.45,12.57,20.38,7.96,21.37,5.93,12.77,25.79,5.13,0.0,11.49,4.64,20.17,29.78,25.67,20.07,10.58,18.52,13.37,15.81,2.72,19.81,20.19,16.69,21.18,12.62,25.26,18.71,31.93,2.42,14.19,20.74,1.81,19.26,8.76,24.19,7.76,18.6,18.79,19.02,15.13,7.52,7.6,10.84,13.27,11.49,18.41,18.5,18.77,19.38,9.32,6.08,11.66,13.26,19.22,17.91,14.02,8.34,1.6
DEL0002,33.65,23.25,20.77,19.95,17.56,13.05,6.57,6.33,33.99,14.73,12.2,0.0,14.4,29.77,35.99,25.24,19.64,19.19,26.33,21.17,4.88,14.0,19.37,29.79,25.84,30.39,18.11,32.0,23.09,38.92,9.15,21.58,28.94,11.75,25.48,7.8,31.02,3.51,28.2,29.79,18.58,22.93,17.12,6.67,18.64,21.07,19.29,14.49,26.3,26.57,19.58,4.38,15.68,21.6,21.07,27.02,25.71,21.82,5.86,12.05
DEL0003,25.27,14.22,10.44,21.09,5.81,24.31,11.81,15.39,24.16,4.83,4.62,14.4,0.0,15.17,24.79,20.68,20.78,7.41,14.86,12.15,19.82,4.28,20.52,15.19,13.57,19.96,11.39,22.17,18.35,26.93,6.4,12.55,19.11,3.27,12.75,11.28,19.19,11.73,15.31,15.19,19.73,13.01,9.19,11.62,9.62,12.04,10.26,19.12,17.39,17.55,18.16,14.92,7.17,8.45,12.04,17.99,16.8,12.79,12.3,5.96
DEL0004,12.72,8.45,9.04,29.5,13.26,36.18,23.67,29.33,12.4,15.46,19.19,29.33,14.55,0.0,12.47,24.58,29.99,8.53,13.67,15.62,32.44,19.42,26.84,0.21,2.97,8.12,15.34,11.07,23.86,14.61,20.82,13.47,8.01,16.9,2.35,22.73,5.73,25.78,1.06,0.21,27.92,9.69,13.56,23.07,14.94,8.93,13.47,28.85,11.83,12.23,23.66,27.0,15.21,7.52,14.1,12.67,11.92,9.6,23.75,17.83
DEL0005,9.0,18.3,19.8,34.03,26.28,49.2,36.69,42.34,9.34,29.1,32.21,38.87,29.44,13.75,0.0,29.33,34.51,21.55,18.27,25.93,43.19,30.51,31.37,12.97,16.12,12.34,26.1,9.75,28.38,0.61,33.84,25.02,11.86,29.48,13.49,33.49,11.07,36.53,14.66,13.76,32.45,19.76,26.58,33.83,25.7,19.44,24.23,34.09,20.42,17.87,28.19,37.76,28.23,19.7,19.63,17.75,19.78,20.34,34.51,30.64
DEL0006,22.63,16.18,16.47,6.97,25.1,32.51,27.49,27.63,21.9,26.84,22.24,25.3,20.85,24.15,25.3,0.0,9.05,18.32,9.92,9.48,25.34,21.91,6.69,24.3,21.57,19.08,10.84,21.14,3.06,30.58,24.68,10.63,24.67,20.89,21.21,18.56,25.59,21.87,24.28,24.16,7.61,15.24,24.8,19.74,11.8,15.51,15.15,8.62,12.62,12.38,3.86,22.09,25.94,17.91,11.19,13.48,12.03,14.03,20.31,28.68
DEL0007,29.83,20.48,23.19,3.23,29.31,27.39,19.07,22.51,31.44,26.48,21.01,20.17,22.25,28.84,32.5,8.19,0.0,23.37,16.69,13.67,20.21,22.1,4.58,30.89,27.46,26.27,14.86,28.34,9.16,37.77,19.56,15.79,28.48,20.65,27.93,13.43,32.78,16.75,31.0,30.89,4.36,21.96,28.88,14.62,16.03,22.23,18.25,2.88,20.16,19.31,8.96,16.97,27.44,24.63,15.95,20.68,17.74,20.76,15.19,23.8
DEL0008,17.12,7.99,4.1,24.72,6.48,28.91,16.4,22.05,18.96,8.71,10.48,21.25,7.48,8.66,18.27,20.31,22.58,0.0,13.22,10.84,22.59,10.16,22.06,8.68,7.05,12.7,10.56,15.47,19.07,20.42,13.54,10.04,12.41,9.13,6.58,13.52,12.68,15.94,8.8,8.68,23.14,7.67,6.7,13.86,8.67,5.8,8.69,22.06,10.97,11.31,18.88,17.16,7.81,1.57,9.31,11.76,10.38,6.57,14.54,10.56
DEL0009,16.19,4.61,7.95,15.01,18.52,35.0,19.86,33.6,15.46,20.26,18.25,26.49,16.85,17.57,18.86,10.16,15.49,11.63,0.0,5.16,27.82,17.92,12.35,17.59,14.99,12.64,6.35,14.7,9.11,18.5,20.02,4.44,18.09,16.89,14.63,21.04,20.17,24.15,14.17,17.59,13.43,4.29,18.23,21.44,6.24,5.97,8.58,15.06,3.15,4.17,8.91,18.84,19.36,10.22,4.62,4.52,2.57,4.55,17.79,22.11
DEL0010,19.95,8.0,8.22,12.55,16.86,32.55,20.39,26.68,19.22,16.32,13.83,22.07,12.43,15.9,22.62,9.63,13.03,10.08,5.15,0.0,25.37,13.5,9.89,15.84,13.32,16.4,2.65,18.46,6.8,26.41,15.61,2.79,16.43,12.47,12.97,16.69,18.5,19.73,16.04,15.92,10.97,7.06,16.56,17.02,3.04,7.27,5.0,12.61,6.22,7.23,6.6,20.96,17.7,9.67,2.96,7.59,5.63,5.85,17.71,15.19
DEL0011,38.14,27.74,25.26,19.89,20.44,8.37,9.43,3.42,38.48,17.61,14.22,4.86,19.68,32.66,40.48,25.18,19.58,23.68,29.75,22.36,0.0,16.27,19.32,32.73,30.33,35.06,24.91,36.49,23.03,43.41,12.77,26.07,35.52,15.36,29.97,13.18,35.51,6.62,31.08,32.97,18.53,27.42,20.0,10.51,21.11,25.56,23.78,17.92,33.22,33.91,22.84,8.86,18.57,26.09,24.1,33.74,32.63,26.31,10.27,14.88
DEL0012,23.33,13.33,10.45,20.2,5.97,22.68,10.18,14.91,23.67,4.59,2.23,15.14,2.5,16.23,25.67,20.58,20.77,8.46,15.26,11.26,16.56,0.0,19.63,16.25,14.62,19.07,10.5,21.68,17.46,27.99,4.83,11.66,20.11,2.35,15.16,10.39,21.29,10.17,16.36,16.25,18.84,13.02,7.56,10.72,8.72,11.15,9.37,18.23,16.39,16.66,17.27,11.73,5.54,9.55,11.15,17.1,15.8,11.9,9.99,4.33
DEL0013,28.58,18.85,19.13,3.0,27.76,27.35,22.33,22.47,25.04,22.69,20.98,20.14,17.86,26.81,28.44,6.76,3.62,20.99,12.63,10.24,19.5,20.74,0.0,26.0,24.23,22.22,10.81,24.28,7.67,33.72,19.52,11.73,27.33,19.72,23.77,13.4,28.73,16.71,26.95,26.83,1.81,15.96,27.47,14.58,11.98,18.18,13.79,3.24,16.11,16.8,7.48,16.93,28.61,19.26,12.53,16.62,15.52,15.92,15.15,23.77
DEL0014,12.76,10.0,9.08,29.54,13.16,36.08,23.58,29.23,12.83,15.36,19.09,28.16,14.46,0.53,12.97,24.62,30.02,8.43,13.19,15.66,31.59,19.33,26.88,0.0,3.01,8.79,14.71,11.11,23.89,14.65,20.72,14.86,8.05,16.1,2.39,22.77,6.92,25.74,1.28,0.27,27.07,10.53,13.47,23.11,14.98,8.97,13.51,28.89,11.87,12.26,23.7,27.04,15.62,7.42,14.13,13.66,11.96,9.63,23.79,18.84
DEL0015,12.18,7.92,5.71,27.05,12.59,35.51,21.89,28.66,12.52,14.79,18.52,25.66,16.23,1.74,12.61,22.12,27.53,6.07,12.69,13.16,29.98,18.75,24.39,2.83,0.0,8.92,12.89,10.53,21.4,14.37,18.44,12.36,7.47,16.27,0.99,20.28,7.16,23.32,2.95,2.83,25.47,8.08,11.98,20.61,12.49,6.27,9.39,26.4,11.29,11.66,21.2,24.55,14.54,5.47,11.64,12.13,11.0,7.18,21.3,17.16
DEL0016,6.24,8.64,8.55,24.92,21.27,43.04,29.03,36.35,5.57,23.01,20.96,30.71,19.56,8.12,8.8,20.22,25.4,12.69,12.7,14.73,35.03,20.63,22.26,8.79,9.21,0.0,13.56,2.74,19.27,11.47,22.74,13.93,3.83,19.6,8.38,25.15,6.1,28.37,9.94,8.9,23.34,10.11,20.98,25.97,14.06,8.59,12.64,24.97,11.3,7.23,19.07,29.59,22.11,11.53,13.21,8.63,10.66,9.48,26.34,24.86
DEL0017,20.56,7.42,7.65,13.71,16.28,30.18,19.37,25.66,20.9,14.42,12.81,21.05,11.41,14.08,22.9,11.3,14.2,9.51,6.82,1.62,25.37,12.48,11.05,15.35,12.75,14.61,0.0,18.91,8.47,25.83,14.58,2.72,15.85,11.45,12.49,15.66,17.93,18.71,15.47,15.35,12.36,6.48,15.99,16.0,2.59,6.69,4.41,13.77,7.18,8.19,8.28,19.93,17.12,9.09,2.2,8.54,6.59,5.28,13.18,14.17
DEL0018,3.85,11.38,13.47,27.11,23.1,44.03,30.86,38.18,3.17,24.84,24.5,32.54,23.1,13.66,5.35,22.41,27.6,14.52,14.9,19.01,36.86,24.17,25.66,10.05,11.04,2.81,17.22,0.0,21.47,10.88,26.59,18.1,4.69,23.14,10.21,27.15,5.15,30.2,11.77,10.1,25.53,12.85,22.81,27.49,16.44,10.55,15.03,27.17,10.9,10.95,21.27,31.42,23.94,13.36,15.3,10.83,12.86,11.52,28.17,26.69
DEL0019,22.59,15.66,15.95,7.95,24.58,30.55,25.52,25.67,22.59,21.2,19.59,23.33,18.2,23.63,25.26,4.09,9.26,17.81,7.69,7.06,23.37,19.26,7.67,21.9,21.05,19.03,8.42,21.1,0.0,25.51,22.72,8.55,24.15,18.23,19.71,16.59,25.54,19.91,23.76,23.65,9.36,14.72,24.29,17.78,9.38,14.99,11.15,9.6,11.97,13.61,0.33,20.13,25.42,17.39,8.72,13.44,11.38,13.52,18.35,20.95
DEL0020,12.35,14.99,20.28,37.38,26.49,49.41,36.9,42.55,12.69,28.68,32.42,39.35,27.58,13.96,0.16,32.69,37.87,21.76,25.17,26.85,43.3,28.09,34.73,13.97,14.37,12.43,26.57,13.1,31.74,0.0,34.05,20.18,7.98,29.95,15.71,33.96,10.47,37.01,14.88,13.97,35.81,23.12,26.79,34.25,26.18,19.16,20.25,37.44,23.77,21.22,31.54,38.23,28.44,19.16,25.33,21.1,23.13,17.05,34.98,31.06
DEL0021,29.38,17.95,13.72,18.61,9.49,19.65,5.96,10.86,29.95,6.66,1.83,10.06,5.8,21.71,28.94,25.7,20.1,11.73,19.68,14.53,15.84,4.09,19.84,21.73,20.1,22.34,13.77,24.95,20.73,31.77,0.0,14.94,21.89,2.97,18.44,8.79,25.73,7.78,20.13,21.73,19.05,16.29,9.06,7.62,12.0,14.42,12.65,17.6,18.85,20.18,20.54,9.34,7.62,12.82,14.42,20.79,19.07,15.17,8.37,3.96
DEL0022,19.68,5.87,7.33,16.28,15.97,33.81,25.4,31.05,18.95,17.71,14.07,22.31,12.68,15.01,22.58,11.35,16.76,9.81,4.8,2.61,26.63,13.74,13.62,15.03,12.43,14.3,2.2,18.6,8.66,25.52,15.85,0.0,15.54,12.71,12.08,16.93,17.61,19.97,15.15,15.03,14.7,4.03,15.67,17.27,3.86,6.38,4.63,16.33,5.17,6.18,8.46,21.2,16.81,8.78,0.69,6.53,4.58,4.9,17.95,15.54
DEL0023,6.89,9.21,9.94,30.4,19.58,40.51,27.33,34.66,7.23,21.32,20.98,29.01,19.6,6.75,7.93,25.48,30.88,10.99,14.55,16.51,33.33,20.65,27.74,6.77,7.51,2.97,14.75,5.24,24.75,9.93,22.75,15.71,0.0,19.62,6.69,23.63,2.58,26.67,7.67,6.77,28.82,11.39,19.28,23.96,15.84,8.74,12.58,29.75,12.59,9.62,24.56,27.9,20.42,9.84,14.99,12.73,10.86,10.49,24.65,23.16
DEL0024,24.21,14.21,11.33,19.69,8.41,21.73,7.09,14.88,24.55,5.0,1.8,12.65,3.41,17.11,26.55,21.08,20.77,9.34,17.29,12.14,16.97,1.9,20.51,17.13,15.5,19.95,11.38,22.56,18.05,28.87,3.58,12.55,19.5,0.0,16.04,9.92,22.01,8.92,17.25,17.13,19.72,13.9,6.27,8.76,9.61,12.03,10.26,19.11,17.27,17.54,18.15,10.48,5.95,10.43,12.66,18.84,16.68,12.78,9.47,3.17
DEL0025,11.4,7.13,5.73,25.72,13.35,38.37,23.76,29.63,11.74,15.63,19.28,27.82,16.25,2.44,12.24,22.15,27.55,6.15,12.29,13.18,30.99,17.32,24.41,2.46,1.39,8.14,12.91,9.75,21.42,14.38,20.91,12.38,6.69,16.29,0.0,20.3,6.65,23.34,2.58,2.46,24.84,8.1,13.65,20.63,12.51,6.29,11.04,26.42,10.51,10.9,21.23,24.57,15.3,5.55,11.31,11.35,10.59,7.2,21.32,17.92
DEL0026,28.31,17.91,15.43,13.34,15.36,20.4,5.72,12.69,28.65,12.6,8.73,6.28,11.37,21.35,30.65,18.63,13.03,13.58,23.19,15.83,13.22,10.78,11.57,21.37,20.5,25.05,15.08,26.66,16.48,33.58,7.28,16.24,25.85,9.87,20.14,0.0,25.68,4.99,21.49,21.37,11.97,17.59,14.99,1.71,13.3,16.71,13.95,11.37,20.96,21.23,16.28,5.26,13.56,14.67,13.99,27.18,20.37,16.48,2.28,9.92
DEL0027,6.33,11.21,11.94,31.51,18.62,41.54,29.04,34.69,6.67,20.82,24.55,33.7,21.58,6.09,7.59,26.81,31.99,12.99,16.56,18.52,35.33,22.65,28.85,6.11,6.54,6.05,16.79,5.91,25.86,9.59,25.13,17.71,2.63,21.62,6.06,25.63,0.0,28.68,7.01,6.11,29.93,13.39,18.93,25.97,17.84,10.64,16.37,31.57,14.59,15.35,25.67,29.9,20.57,11.84,16.99,15.23,13.18,12.49,26.65,23.19
DEL0028,32.36,21.95,19.48,17.29,15.66,12.93,4.67,6.67,32.7,12.83,8.71,3.31,12.68,27.87,37.4,22.58,16.98,17.9,25.03,19.88,6.23,10.75,16.71,27.89,25.18,29.1,19.13,30.71,20.43,37.63,7.25,20.29,27.65,10.65,24.19,5.9,29.72,0.0,26.49,27.89,15.92,21.64,15.22,4.77,17.35,19.78,17.44,15.31,25.01,25.28,20.23,3.08,13.78,20.3,19.77,25.72,24.42,20.78,4.57,10.15
DEL0029,13.73,9.83,8.18,28.49,13.03,35.38,22.87,28.52,14.07,14.65,18.39,24.55,13.75,1.5,13.48,23.56,29.05,7.73,14.17,14.6,30.89,15.6,25.83,1.52,3.98,10.48,14.32,12.09,22.84,15.63,20.01,13.8,9.03,15.4,3.36,19.79,7.89,26.49,0.0,1.52,26.91,10.13,12.76,20.13,13.93,8.68,12.45,27.83,12.85,13.24,22.64,26.63,14.41,6.72,13.08,13.62,12.93,10.61,20.81,17.03
DEL0030,12.76,8.49,9.08,29.54,13.16,36.08,23.58,31.48,13.1,16.78,19.09,28.16,14.46,0.53,12.51,24.56,30.02,8.73,13.19,15.66,31.59,19.33,26.88,0.0,3.01,9.5,15.38,11.11,23.89,14.65,20.72,14.86,8.05,16.1,2.39,22.77,6.92,25.74,1.28,0.0,27.96,10.53,13.47,23.11,14.98,8.97,13.51,28.89,11.87,12.26,23.7,27.04,15.11,8.23,14.13,13.88,11.96,9.63,23.79,17.73
DEL0031,26.93,20.01,20.29,1.77,28.92,25.84,16.85,20.96,26.2,22.83,19.47,18.63,20.71,27.97,29.6,8.2,3.16,22.15,13.79,11.4,18.67,20.55,2.15,27.07,25.39,23.38,11.97,25.44,8.83,34.88,18.01,12.89,28.49,19.24,25.04,11.89,29.89,15.2,28.11,27.99,0.0,19.07,28.63,13.07,13.14,19.34,14.95,1.99,17.27,17.96,8.64,13.78,25.9,21.74,13.05,17.78,16.68,17.86,13.64,22.26
DEL0032,14.71,1.66,4.6,19.41,15.1,35.06,19.34,30.18,13.98,16.84,15.33,23.57,13.93,9.69,17.38,14.09,19.89,8.17,4.22,5.97,27.89,15.0,15.96,10.42,8.22,10.01,5.99,12.2,13.03,20.0,17.11,4.78,11.26,13.97,7.86,18.19,13.33,21.23,10.26,10.75,17.83,0.0,14.8,17.89,6.42,3.18,6.38,19.47,4.56,4.99,12.84,22.46,15.94,6.07,4.06,5.43,3.98,1.54,18.33,18.68
DEL0033,24.14,15.95,12.12,27.41,0.94,24.94,12.53,18.09,24.48,3.32,7.95,19.41,7.37,14.28,23.89,25.49,27.1,6.78,18.91,16.53,20.45,8.19,27.75,14.3,12.67,20.88,16.25,22.49,24.77,26.04,9.58,15.73,19.43,8.37,13.37,15.44,19.13,14.6,12.7,13.55,23.5,16.16,0.0,14.62,12.47,13.56,11.2,25.44,18.89,19.9,24.57,16.19,3.23,8.02,14.74,20.25,18.3,14.96,15.37,6.59
DEL0034,28.66,19.49,17.27,14.53,14.65,17.65,5.51,11.13,29.0,11.82,7.86,5.49,9.52,21.7,33.97,19.82,14.22,13.93,21.34,16.18,10.47,9.61,13.96,21.72,22.19,25.4,15.43,28.78,17.67,33.93,6.11,16.59,23.95,8.7,20.49,1.69,26.03,3.8,21.84,21.72,13.17,17.94,14.21,0.0,13.65,17.46,14.01,12.56,21.31,21.58,17.48,1.5,12.77,16.32,16.08,22.03,20.73,16.83,1.09,9.14
DEL0035,20.34,7.2,7.44,14.61,16.06,29.25,17.33,23.63,20.68,12.39,10.77,19.02,9.38,15.11,22.16,12.66,15.09,9.28,7.81,3.26,23.33,10.45,11.95,15.12,12.53,14.38,2.51,18.69,9.46,25.61,12.55,3.67,14.99,9.42,12.17,11.08,17.7,16.68,15.24,15.12,13.03,6.26,15.76,13.97,0.0,6.46,2.79,14.67,8.17,9.18,9.27,17.9,13.34,8.87,3.15,9.54,7.58,5.05,12.39,12.07
DEL0036,14.29,2.95,2.16,21.34,13.89,33.42,23.32,28.97,14.53,15.63,13.69,21.93,12.29,8.96,16.53,16.42,20.47,5.57,6.13,7.46,26.25,13.36,18.68,9.07,6.44,8.42,7.18,10.53,15.69,18.24,15.46,6.66,9.48,12.33,6.08,16.54,10.67,19.59,8.68,8.97,19.76,3.17,12.84,17.46,5.84,0.0,5.37,21.4,6.47,6.22,15.5,20.81,14.23,4.41,4.46,7.25,5.88,2.06,17.56,17.47
DEL0037,17.1,5.46,4.25,20.04,12.83,31.02,17.63,23.93,17.44,12.69,11.07,19.32,9.68,11.87,19.44,15.12,18.25,6.05,8.54,5.16,23.63,10.75,17.38,11.88,9.29,12.02,4.41,13.3,11.75,22.37,12.85,5.36,12.39,9.72,8.93,13.93,14.46,16.98,12.0,11.88,18.46,5.14,12.53,14.27,3.34,3.28,0.0,20.1,8.51,8.78,11.09,18.2,13.67,4.61,4.63,9.23,7.92,3.51,14.95,12.43
DEL0038,31.4,21.23,21.29,2.72,27.18,25.25,20.23,20.38,27.41,24.35,18.88,18.04,20.12,28.94,30.82,8.32,2.17,21.04,15.01,12.62,18.08,19.96,3.31,28.49,26.36,24.6,13.78,26.66,10.05,36.1,17.6,14.11,29.46,18.65,26.0,11.3,31.11,14.61,29.08,28.96,2.14,18.63,26.74,12.48,14.35,20.55,16.17,0.0,18.48,19.17,9.86,14.11,25.31,22.95,14.27,19.0,17.22,19.08,13.06,21.67
DEL0039,15.03,4.04,7.85,18.1,19.26,36.75,28.69,34.34,14.3,21.0,18.98,27.23,17.59,12.03,17.7,13.26,18.58,12.49,3.38,6.12,30.92,18.66,15.44,12.04,11.7,9.71,7.12,11.9,12.2,22.98,20.76,4.43,12.43,16.95,10.61,21.84,12.87,24.88,12.16,12.04,16.52,4.76,18.96,19.39,8.08,6.45,9.31,18.15,0.0,2.91,9.53,26.11,20.1,9.32,5.37,3.25,2.09,4.58,22.86,22.85
DEL0040,12.53,3.48,8.05,19.34,19.5,39.33,29.6,29.58,11.8,21.91,19.89,28.14,18.5,12.45,15.2,12.84,19.82,12.51,4.3,7.04,32.16,19.57,16.68,13.01,11.85,7.85,8.03,11.04,13.69,20.48,21.67,6.12,11.89,18.54,11.03,25.38,15.49,25.8,12.58,13.24,17.76,4.74,19.87,23.09,8.99,6.63,10.23,18.87,1.48,0.0,13.49,22.13,21.01,9.52,6.28,0.91,2.26,5.49,23.77,23.76
DEL0041,23.12,15.47,14.66,7.76,24.39,30.35,25.33,25.47,21.66,21.01,18.52,23.14,18.0,23.43,25.44,3.9,8.71,17.61,9.07,6.86,23.18,19.07,5.72,23.45,20.85,18.84,8.22,20.9,0.33,30.34,22.52,8.36,23.96,18.04,20.5,16.4,25.35,19.71,23.57,23.45,9.16,14.53,24.09,15.6,9.18,14.8,10.95,9.4,11.77,13.42,0.0,19.93,25.23,16.26,8.52,13.24,11.19,13.32,18.15,20.75
DEL0042,29.28,20.64,16.4,18.82,14.95,16.11,3.19,8.82,29.62,11.34,7.03,5.97,11.01,24.05,31.62,24.11,18.51,14.82,21.95,16.8,8.02,9.08,14.31,24.06,22.9,26.02,16.05,27.63,21.96,34.55,5.58,17.21,24.57,8.17,21.11,4.32,26.64,3.03,24.18,24.06,17.45,18.56,13.74,3.5,14.27,16.7,14.92,16.85,21.93,22.13,17.1,0.0,12.3,17.22,16.22,22.64,21.34,17.45,1.81,8.66
DEL0043,25.87,16.81,12.97,25.28,2.03,23.36,10.86,16.51,26.21,1.36,5.6,16.06,7.58,15.65,25.63,26.34,24.97,8.7,19.76,17.38,18.87,6.06,24.71,16.03,14.41,22.62,17.1,23.97,25.62,27.77,8.0,16.58,21.16,6.24,15.11,13.86,20.04,13.03,14.44,15.77,23.92,17.02,2.85,13.04,13.81,14.41,15.23,23.31,19.74,20.75,25.42,13.25,0.0,9.89,15.86,21.03,19.15,15.81,13.79,5.02
DEL0044,15.66,6.65,2.76,24.14,8.75,32.01,19.5,25.16,16.0,11.82,15.02,19.53,8.74,8.44,18.0,19.21,24.62,1.57,9.29,10.25,23.85,11.41,19.26,8.46,5.56,12.41,9.97,14.02,18.49,19.16,12.77,9.45,10.95,10.39,5.56,14.78,12.46,17.19,6.93,8.23,20.14,6.64,9.78,15.11,9.58,4.46,7.64,21.37,9.64,9.97,18.29,17.03,9.89,0.0,8.73,11.72,9.05,5.23,15.8,13.66
